date,zip_file,filename,raw_rows,aggregated_rows,unique_squares,unique_timestamps,internet_traffic_sum,processing_time_seconds,schema_ok,timestamps_all_10_minutes,missing_or_invalid_rows
2013-11-01,dataverse_files.zip,sms-call-internet-mi-2013-11-01.txt,4842625,1439946,10000,144,82479246.58638181,5.733,True,True,0
2013-11-02,dataverse_files.zip,sms-call-internet-mi-2013-11-02.txt,4745086,1439902,10000,144,80991016.64761244,5.742,True,True,0
2013-11-03,dataverse_files.zip,sms-call-internet-mi-2013-11-03.txt,4722579,1439855,10000,144,83509155.16774604,7.131,True,True,0
2013-11-04,dataverse_files.zip,sms-call-internet-mi-2013-11-04.txt,5639488,1439873,10000,144,108106879.17393677,6.676,True,True,0
2013-11-05,dataverse_files.zip,sms-call-internet-mi-2013-11-05.txt,5874140,1439887,10000,144,111124132.21009064,9.328,True,True,0
2013-11-06,dataverse_files.zip,sms-call-internet-mi-2013-11-06.txt,5912097,1439877,10000,144,111009151.11069342,11.788,True,True,0
2013-11-07,dataverse_files.zip,sms-call-internet-mi-2013-11-07.txt,5886883,1439873,10000,144,110396471.39937706,11.073,True,True,0
2013-11-08,dataverse_files.zip,sms-call-internet-mi-2013-11-08.txt,5918856,1439883,10000,144,110715219.7795064,13.737,True,True,0
2013-11-09,dataverse_files.zip,sms-call-internet-mi-2013-11-09.txt,5052416,1439880,10000,144,97376864.57189438,4.581,True,True,0
2013-11-10,dataverse_files.zip,sms-call-internet-mi-2013-11-10.txt,4731582,1439875,10000,144,91693061.96935385,3.681,True,True,0
2013-11-11,dataverse_files (4).zip,sms-call-internet-mi-2013-11-11.txt,5478993,1439885,10000,144,107100843.62132536,4.04,True,True,0
2013-11-12,dataverse_files (4).zip,sms-call-internet-mi-2013-11-12.txt,5597591,1439838,10000,144,108251658.00928265,4.153,True,True,0
2013-11-13,dataverse_files (4).zip,sms-call-internet-mi-2013-11-13.txt,5689517,1439837,10000,144,108145473.2597802,4.29,True,True,0
2013-11-14,dataverse_files (4).zip,sms-call-internet-mi-2013-11-14.txt,5703373,1439841,10000,144,108833468.14577562,4.375,True,True,0
2013-11-15,dataverse_files (4).zip,sms-call-internet-mi-2013-11-15.txt,5708802,1439835,10000,144,106499266.35154995,4.881,True,True,0
2013-11-16,dataverse_files (4).zip,sms-call-internet-mi-2013-11-16.txt,4847779,1439828,10000,144,90387367.09622233,4.298,True,True,0
2013-11-17,dataverse_files (4).zip,sms-call-internet-mi-2013-11-17.txt,4611954,1439814,10000,144,84539767.14971383,4.277,True,True,0
2013-11-18,dataverse_files (4).zip,sms-call-internet-mi-2013-11-18.txt,5417835,1439826,10000,144,103692209.24163093,4.605,True,True,0
2013-11-19,dataverse_files (4).zip,sms-call-internet-mi-2013-11-19.txt,5577668,1439839,10000,144,106548535.04660451,4.682,True,True,0
2013-11-20,dataverse_files (4).zip,sms-call-internet-mi-2013-11-20.txt,5643712,1439825,10000,144,105368563.48668753,4.709,True,True,0
2013-11-21,dataverse_files (4).zip,sms-call-internet-mi-2013-11-21.txt,5616011,1439853,10000,144,105939844.13448635,4.66,True,True,0
2013-11-22,dataverse_files (4).zip,sms-call-internet-mi-2013-11-22.txt,5634579,1439847,10000,144,104045107.02366988,4.735,True,True,0
2013-11-23,dataverse_files (4).zip,sms-call-internet-mi-2013-11-23.txt,4779119,1439826,10000,144,91507584.32100473,4.198,True,True,0
2013-11-24,dataverse_files (4).zip,sms-call-internet-mi-2013-11-24.txt,4548405,1439827,10000,144,86125739.00604233,4.012,True,True,0
2013-11-25,dataverse_files (4).zip,sms-call-internet-mi-2013-11-25.txt,5365586,1439817,10000,144,100406559.54491858,6.57,True,True,0
2013-11-26,dataverse_files (1).zip,sms-call-internet-mi-2013-11-26.txt,5491322,1439610,10000,144,100795850.6480374,11.281,True,True,0
2013-11-27,dataverse_files (1).zip,sms-call-internet-mi-2013-11-27.txt,5448926,1439747,10000,144,100055405.5436232,11.486,True,True,0
2013-11-28,dataverse_files (1).zip,sms-call-internet-mi-2013-11-28.txt,5472300,1439439,10000,144,96851817.37550119,10.711,True,True,0
2013-11-29,dataverse_files (1).zip,sms-call-internet-mi-2013-11-29.txt,5482752,1438899,9999,144,95207753.81024322,10.315,True,True,0
2013-11-30,dataverse_files (1).zip,sms-call-internet-mi-2013-11-30.txt,4666027,1438775,9998,144,84984158.27709399,8.561,True,True,0
2013-12-01,dataverse_files (1).zip,sms-call-internet-mi-2013-12-01.txt,4438331,1438635,9998,144,80423162.16909191,8.736,True,True,0
2013-12-02,dataverse_files (1).zip,sms-call-internet-mi-2013-12-02.txt,5320367,1437660,9998,144,94357460.87622912,10.224,True,True,0
2013-12-03,dataverse_files (1).zip,sms-call-internet-mi-2013-12-03.txt,5545148,1437041,9998,144,96992185.07056913,10.797,True,True,0
2013-12-04,dataverse_files (1).zip,sms-call-internet-mi-2013-12-04.txt,5501001,1436860,9998,144,95454920.45837413,9.664,True,True,0
2013-12-05,dataverse_files (1).zip,sms-call-internet-mi-2013-12-05.txt,5523429,1436742,9998,144,93902067.8276735,10.922,True,True,0
2013-12-06,dataverse_files (1).zip,sms-call-internet-mi-2013-12-06.txt,5525307,1436594,9998,144,93572168.93695715,11.087,True,True,0
2013-12-07,dataverse_files (1).zip,sms-call-internet-mi-2013-12-07.txt,4590100,1436385,9998,144,80146848.4743677,10.706,True,True,0
2013-12-08,dataverse_files (1).zip,sms-call-internet-mi-2013-12-08.txt,4357172,1436294,9998,144,77734913.85097006,9.901,True,True,0
2013-12-09,dataverse_files (1).zip,sms-call-internet-mi-2013-12-09.txt,5252874,1436346,9998,144,94087596.60286152,10.587,True,True,0
2013-12-10,dataverse_files (1).zip,sms-call-internet-mi-2013-12-10.txt,5455708,1436438,9998,144,99227801.58380438,11.141,True,True,0
